##QueryTarget=ABCG2
##QueryTargetLocation=4:89011416-89080011(-)
#Chromosome ChrStartPos ChrStopPos SequencingSpan(bp) TotalSamplesCovered avgSampleReadDepth TotalEAsamplesCovered AvgEAsampleReadDepth TotalAAsamplesCovered AvgAAsampleReadDepth
4 89013334 89013585 252 5,355.9+/-241.8 77.5+/-36.5 3,495.6+/-158.4 78.7+/-35.9 1,860.4+/-83.5 75.3+/-37.7
4 89015669 89015872 204 5,047.1+/-1,054.0 97.4+/-35.2 3,312.0+/-629.1 94.3+/-33.6 1,735.1+/-425.1 103.4+/-38.0
4 89016616 89016818 203 5,193.7+/-795.5 111.3+/-39.0 3,399.5+/-475.0 106.6+/-35.6 1,794.2+/-320.6 120.1+/-45.4
4 89018553 89018811 259 5,358.2+/-238.5 104.1+/-34.0 3,496.4+/-156.1 102.8+/-32.6 1,861.8+/-82.4 106.4+/-36.8
4 89020424 89020542 119 5,352.3+/-282.8 113.4+/-8.9 3,492.0+/-188.1 114.2+/-10.6 1,860.3+/-94.7 111.9+/-7.0
4 89020544 89020650 107 5,379.0+/-0.1 96.6+/-27.7 3,510.0+/-0.0 99.8+/-29.1 1,869.0+/-0.1 90.6+/-25.0
4 89020652 89020652 1 3,085.0+/-0.0 31.0+/-0.0 2,053.0+/-0.0 34.0+/-0.0 1,032.0+/-0.0 26.0+/-0.0
4 89022326 89022528 203 5,193.6+/-795.4 71.9+/-24.6 3,399.5+/-475.0 67.0+/-22.3 1,794.1+/-320.6 81.2+/-29.0
4 89028276 89028479 204 5,045.2+/-1,054.0 59.1+/-23.1 3,310.9+/-629.2 60.9+/-23.6 1,734.2+/-424.9 56.2+/-22.1
4 89034403 89034757 355 5,363.8+/-203.8 121.3+/-41.9 3,500.1+/-133.4 121.1+/-41.5 1,863.7+/-70.5 121.6+/-42.6
4 89036057 89036262 206 5,352.9+/-267.3 73.2+/-23.2 3,493.0+/-175.0 74.9+/-23.6 1,859.9+/-92.4 69.9+/-22.5
4 89039209 89039464 256 5,357.9+/-239.8 97.1+/-34.9 3,496.3+/-157.1 98.0+/-34.6 1,861.6+/-82.9 95.5+/-35.5
4 89042735 89042996 262 5,358.5+/-237.1 104.5+/-42.7 3,496.6+/-155.3 106.6+/-43.4 1,861.9+/-81.9 100.7+/-41.5
4 89052161 89052417 257 5,358.1+/-239.4 186.3+/-54.2 3,496.3+/-156.7 183.1+/-51.5 1,861.7+/-82.7 192.4+/-59.2
4 89052903 89053121 219 5,353.8+/-259.2 74.2+/-26.3 3,493.8+/-169.8 75.5+/-27.0 1,859.9+/-89.5 71.7+/-25.2
4 89053657 89053657 1 1,617.0+/-0.0 51.0+/-0.0 1,266.0+/-0.0 51.0+/-0.0 351.0+/-0.0 52.0+/-0.0
4 89053659 89053859 201 4,667.8+/-1,465.2 117.1+/-36.4 3,085.8+/-874.3 118.0+/-36.4 1,582.0+/-591.1 115.3+/-36.3
4 89060893 89061199 307 5,361.1+/-219.5 53.2+/-17.6 3,498.5+/-143.7 53.9+/-17.6 1,862.6+/-75.9 51.9+/-17.5
