Mapping results for funny-nose from the region "region1".
This analysis for this trait was performed by collecting trees, then calculating the data likelihood of the trait marker at all allowed sites on those trees, and then averaging.
Most likely site(s) for funny-nose:  919:923.  Relative data likelihood = 0.0025891
The top 5% of all sites in this region:  919:936, 946:947
The top 50% of all sites in this region:  678:709, 776:803, 811:953
The top 95% of all sites in this region:  1:212, 214:215, 217:220, 641:953
You have a total of 531 sites in your 95% range.

Site	Data likelihood
1	0.00090735
2	0.00090871
3	0.00090877
4	0.00091575
5	0.00091603
6	0.00091603
7	0.00091603
8	0.00091756
9	0.00092021
10	0.00092455
11	0.00098743
12	0.00098762
13	0.00099016
14	0.00099081
15	0.00099097
16	0.00099295
17	0.00099319
18	0.00099319
19	0.00099528
20	0.00099638
21	0.00100073
22	0.00100046
23	0.00100568
24	0.00100568
25	0.00100593
26	0.00100593
27	0.00100621
28	0.00100657
29	0.00100218
30	0.00100218
31	0.00100350
32	0.00100350
33	0.00100350
34	0.00100601
35	0.00099806
36	0.00099806
37	0.00099806
38	0.00099806
39	0.00099783
40	0.00099639
41	0.00099662
42	0.00099601
43	0.00099598
44	0.00099598
45	0.00099598
46	0.00099400
47	0.00099400
48	0.00099400
49	0.00099402
50	0.00099273
51	0.00099273
52	0.00099273
53	0.00099270
54	0.00099270
55	0.00099508
56	0.00099508
57	0.00099508
58	0.00099506
59	0.00099506
60	0.00099506
61	0.00099506
62	0.00099503
63	0.00099503
64	0.00099416
65	0.00099412
66	0.00099403
67	0.00099403
68	0.00099403
69	0.00099306
70	0.00099265
71	0.00099265
72	0.00099240
73	0.00099369
74	0.00099391
75	0.00099394
76	0.00099198
77	0.00099200
78	0.00099173
79	0.00099173
80	0.00099254
81	0.00099250
82	0.00099419
83	0.00099112
84	0.00099112
85	0.00099112
86	0.00099112
87	0.00099007
88	0.00098821
89	0.00098744
90	0.00099688
91	0.00099688
92	0.00099689
93	0.00099689
94	0.00099695
95	0.00099695
96	0.00099695
97	0.00099647
98	0.00099626
99	0.00099616
100	0.00099683
101	0.00099684
102	0.00099684
103	0.00099502
104	0.00099521
105	0.00099573
106	0.00099508
107	0.00099508
108	0.00099508
109	0.00099508
110	0.00099422
111	0.00099422
112	0.00099423
113	0.00099428
114	0.00099437
115	0.00099437
116	0.00099437
117	0.00099451
118	0.00099451
119	0.00099451
120	0.00099451
121	0.00099471
122	0.00099366
123	0.00099366
124	0.00099377
125	0.00099377
126	0.00099377
127	0.00099292
128	0.00099292
129	0.00099292
130	0.00099290
131	0.00098943
132	0.00098943
133	0.00098489
134	0.00098489
135	0.00098483
136	0.00098483
137	0.00098315
138	0.00098243
139	0.00098295
140	0.00098223
141	0.00098223
142	0.00098178
143	0.00098178
144	0.00098187
145	0.00098185
146	0.00098185
147	0.00098185
148	0.00098185
149	0.00098140
150	0.00098140
151	0.00098157
152	0.00096886
153	0.00096876
154	0.00096870
155	0.00097485
156	0.00098667
157	0.00098667
158	0.00098667
159	0.00098667
160	0.00098666
161	0.00098666
162	0.00098627
163	0.00098627
164	0.00098134
165	0.00098134
166	0.00098152
167	0.00098135
168	0.00098135
169	0.00098747
170	0.00098749
171	0.00098682
172	0.00098682
173	0.00098682
174	0.00102132
175	0.00101695
176	0.00101697
177	0.00101770
178	0.00101770
179	0.00101545
180	0.00101545
181	0.00101035
182	0.00100915
183	0.00104897
184	0.00104897
185	0.00104876
186	0.00104820
187	0.00104823
188	0.00104791
189	0.00068163
190	0.00068162
191	0.00067945
192	0.00067945
193	0.00067747
194	0.00067747
195	0.00067747
196	0.00066959
197	0.00066959
198	0.00066959
199	0.00066959
200	0.00062615
201	0.00062574
202	0.00062574
203	0.00062574
204	0.00062640
205	0.00062643
206	0.00062643
207	0.00062643
208	0.00062673
209	0.00062673
210	0.00062673
211	0.00062178
212	0.00062178
213	0.00062166
214	0.00062166
215	0.00062167
216	0.00062155
217	0.00062181
218	0.00062181
219	0.00062181
220	0.00062181
221	0.00062095
222	0.00062092
223	0.00062090
224	0.00062090
225	0.00062051
226	0.00062051
227	0.00062051
228	0.00062058
229	0.00061890
230	0.00061890
231	0.00061890
232	0.00061890
233	0.00061890
234	0.00061890
235	0.00061890
236	0.00061561
237	0.00061561
238	0.00061561
239	0.00061563
240	0.00061440
241	0.00061440
242	0.00061440
243	0.00061440
244	0.00061440
245	0.00061440
246	0.00061447
247	0.00061436
248	0.00061436
249	0.00061437
250	0.00061047
251	0.00061047
252	0.00061047
253	0.00061047
254	0.00061047
255	0.00061047
256	0.00061047
257	0.00061047
258	0.00061047
259	0.00061047
260	0.00061047
261	0.00061047
262	0.00061082
263	0.00061082
264	0.00061074
265	0.00061506
266	0.00061505
267	0.00061486
268	0.00061486
269	0.00005039
270	0.00005039
271	0.00005039
272	0.00005039
273	0.00005039
274	0.00005039
275	0.00005039
276	0.00005039
277	0.00005039
278	0.00005039
279	0.00005039
280	0.00005039
281	0.00005034
282	0.00005034
283	0.00005034
284	0.00004841
285	0.00004841
286	0.00004841
287	0.00004842
288	0.00004842
289	0.00004842
290	0.00004842
291	0.00004842
292	0.00004842
293	0.00004842
294	0.00004842
295	0.00004842
296	0.00004842
297	0.00004840
298	0.00004840
299	0.00004818
300	0.00004818
301	0.00004818
302	0.00004818
303	0.00004818
304	0.00004819
305	0.00004819
306	0.00004819
307	0.00004819
308	0.00004819
309	0.00004819
310	0.00004819
311	0.00004819
312	0.00004819
313	0.00004819
314	0.00004819
315	0.00004819
316	0.00004819
317	0.00004819
318	0.00004819
319	0.00004819
320	0.00004819
321	0.00004819
322	0.00004819
323	0.00004839
324	0.00004839
325	0.00004839
326	0.00004839
327	0.00004839
328	0.00004839
329	0.00004839
330	0.00004839
331	0.00004842
332	0.00004842
333	0.00004842
334	0.00004842
335	0.00004842
336	0.00004842
337	0.00004842
338	0.00004842
339	0.00004842
340	0.00004842
341	0.00004842
342	0.00004842
343	0.00004842
344	0.00004842
345	0.00004842
346	0.00004842
347	0.00004842
348	0.00004842
349	0.00004850
350	0.00004850
351	0.00004850
352	0.00004850
353	0.00004850
354	0.00004850
355	0.00004850
356	0.00004850
357	0.00004853
358	0.00004853
359	0.00004853
360	0.00004853
361	0.00004853
362	0.00004853
363	0.00004853
364	0.00004853
365	0.00004853
366	0.00004853
367	0.00004853
368	0.00004853
369	0.00004853
370	0.00004853
371	0.00004853
372	0.00004853
373	0.00004421
374	0.00002939
375	0.00002939
376	0.00002939
377	0.00002939
378	0.00002939
379	0.00002939
380	0.00002939
381	0.00002939
382	0.00002939
383	0.00002939
384	0.00002939
385	0.00002939
386	0.00002939
387	0.00002939
388	0.00002939
389	0.00002939
390	0.00002939
391	0.00002939
392	0.00002941
393	0.00002941
394	0.00002941
395	0.00002941
396	0.00002941
397	0.00002941
398	0.00002938
399	0.00002930
400	0.00002930
401	0.00002930
402	0.00002910
403	0.00002910
404	0.00002910
405	0.00002910
406	0.00002910
407	0.00002910
408	0.00002910
409	0.00002910
410	0.00002910
411	0.00002910
412	0.00002910
413	0.00002910
414	0.00002910
415	0.00001097
416	0.00001097
417	0.00001095
418	0.00001095
419	0.00001095
420	0.00001095
421	0.00001095
422	0.00001095
423	0.00001095
424	0.00001095
425	0.00001095
426	0.00001095
427	0.00001095
428	0.00001095
429	0.00001095
430	0.00001095
431	0.00001095
432	0.00001095
433	0.00001095
434	0.00001095
435	0.00001095
436	0.00001096
437	0.00001096
438	0.00001096
439	0.00001096
440	0.00001096
441	0.00001096
442	0.00001096
443	0.00001096
444	0.00001096
445	0.00001099
446	0.00001099
447	0.00001099
448	0.00001099
449	0.00001099
450	0.00001094
451	0.00001094
452	0.00001094
453	0.00001093
454	0.00001093
455	0.00001093
456	0.00001093
457	0.00001093
458	0.00001093
459	0.00001093
460	0.00001093
461	0.00001093
462	0.00001093
463	0.00001093
464	0.00001093
465	0.00001093
466	0.00001093
467	0.00001093
468	0.00001093
469	0.00001093
470	0.00001093
471	0.00001093
472	0.00001093
473	0.00001093
474	0.00001093
475	0.00001093
476	0.00001092
477	0.00001092
478	0.00001092
479	0.00001092
480	0.00001092
481	0.00001092
482	0.00001093
483	0.00001093
484	0.00001093
485	0.00001093
486	0.00001093
487	0.00001093
488	0.00001093
489	0.00001093
490	0.00001093
491	0.00001093
492	0.00001093
493	0.00001093
494	0.00001093
495	0.00001093
496	0.00001093
497	0.00001093
498	0.00001093
499	0.00001093
500	0.00001093
501	0.00001093
502	0.00001093
503	0.00001093
504	0.00001094
505	0.00001094
506	0.00001094
507	0.00001094
508	0.00001094
509	0.00001094
510	0.00001094
511	0.00001094
512	0.00001094
513	0.00001094
514	0.00001094
515	0.00001094
516	0.00001094
517	0.00001094
518	0.00001094
519	0.00001094
520	0.00001095
521	0.00001095
522	0.00001095
523	0.00001095
524	0.00001095
525	0.00001095
526	0.00001088
527	0.00001088
528	0.00001088
529	0.00001088
530	0.00001088
531	0.00001088
532	0.00001088
533	0.00001088
534	0.00001088
535	0.00001088
536	0.00001088
537	0.00001088
538	0.00001088
539	0.00001088
540	0.00001088
541	0.00001088
542	0.00001088
543	0.00001088
544	0.00001088
545	0.00001088
546	0.00001088
547	0.00001088
548	0.00001087
549	0.00001087
550	0.00001087
551	0.00001087
552	0.00001087
553	0.00001087
554	0.00001087
555	0.00001087
556	0.00001087
557	0.00001087
558	0.00001087
559	0.00001087
560	0.00001087
561	0.00001087
562	0.00001087
563	0.00001087
564	0.00001097
565	0.00001097
566	0.00001200
567	0.00001200
568	0.00001200
569	0.00001200
570	0.00001200
571	0.00001200
572	0.00001220
573	0.00001220
574	0.00001220
575	0.00001235
576	0.00001234
577	0.00001234
578	0.00001234
579	0.00001234
580	0.00001234
581	0.00001234
582	0.00001234
583	0.00003992
584	0.00003992
585	0.00003993
586	0.00003993
