##QueryTarget=ABCG2
##QueryTargetLocation=4:89011416-89080011(-)
#Chromosome Position TotalSamplesCovered AvgSampleReadDepth TotalEAsamplesCovered AvgEAsampleReadDepth  TotalAAsamplesCovered AvgAAsampleReadDepth
4 89013334 2290 19.0 1455 20.0 835 18.0
4 89013335 5362 19.0 3503 20.0 1859 16.0
4 89013336 5363 19.0 3503 21.0 1860 17.0
4 89013337 5365 20.0 3503 21.0 1862 17.0
4 89013338 5364 20.0 3503 21.0 1861 17.0
4 89013339 5365 20.0 3504 22.0 1861 18.0
4 89013340 5364 21.0 3504 22.0 1860 18.0
4 89013341 5364 21.0 3504 22.0 1860 18.0
4 89013342 5363 21.0 3504 22.0 1859 18.0
4 89013343 5364 21.0 3504 22.0 1860 18.0
4 89013344 5362 21.0 3504 22.0 1858 18.0
4 89013345 5362 21.0 3504 22.0 1858 18.0
4 89013346 5361 21.0 3503 22.0 1858 18.0
4 89013347 5362 21.0 3505 23.0 1857 19.0
4 89013348 5362 21.0 3505 23.0 1857 19.0
4 89013349 5365 22.0 3505 23.0 1860 19.0
4 89013350 5365 22.0 3506 23.0 1859 19.0
4 89013351 5369 22.0 3506 24.0 1863 20.0
4 89013352 5369 23.0 3506 24.0 1863 20.0
4 89013353 5371 23.0 3508 25.0 1863 20.0
4 89013354 5372 23.0 3508 25.0 1864 20.0
4 89013355 5371 24.0 3508 26.0 1863 21.0
4 89013356 5372 24.0 3508 26.0 1864 21.0
4 89013357 5372 25.0 3508 27.0 1864 22.0
4 89013358 5372 25.0 3508 27.0 1864 22.0
4 89013359 5373 26.0 3508 27.0 1865 22.0
4 89013360 5373 26.0 3508 27.0 1865 22.0
4 89013361 5374 26.0 3509 28.0 1865 23.0
4 89013362 5375 27.0 3509 28.0 1866 23.0
4 89013363 5375 27.0 3509 29.0 1866 24.0
4 89013364 5376 27.0 3510 29.0 1866 24.0
4 89013365 5376 28.0 3510 29.0 1866 24.0
4 89013366 5376 28.0 3510 30.0 1866 25.0
4 89013367 5376 28.0 3510 30.0 1866 25.0
4 89013368 5377 29.0 3510 31.0 1867 25.0
4 89013369 5377 29.0 3510 31.0 1867 25.0
4 89013370 5377 29.0 3510 31.0 1867 25.0
4 89013371 5377 30.0 3510 32.0 1867 26.0
4 89013372 5377 30.0 3510 32.0 1867 26.0
4 89013373 5377 30.0 3510 32.0 1867 27.0
4 89013374 5377 30.0 3510 33.0 1867 27.0
4 89013375 5377 31.0 3510 33.0 1867 27.0
4 89013376 5377 32.0 3510 34.0 1867 28.0
4 89013377 5377 33.0 3510 35.0 1867 28.0
4 89013378 5377 33.0 3510 36.0 1867 29.0
4 89013379 5377 34.0 3510 37.0 1867 30.0
4 89013380 5378 35.0 3510 37.0 1868 30.0
4 89013381 5378 35.0 3510 37.0 1868 30.0
4 89013382 5378 35.0 3510 37.0 1868 31.0
4 89013383 5378 35.0 3510 38.0 1868 31.0
4 89013384 5378 36.0 3510 38.0 1868 32.0
4 89013385 5378 36.0 3510 39.0 1868 32.0
4 89013386 5378 37.0 3510 39.0 1868 32.0
4 89013387 5378 37.0 3510 39.0 1868 32.0
4 89013388 5378 38.0 3510 40.0 1868 33.0
4 89013389 5378 38.0 3510 41.0 1868 34.0
4 89013390 5378 39.0 3510 42.0 1868 35.0
4 89013391 5378 40.0 3510 42.0 1868 35.0
4 89013392 5378 41.0 3510 43.0 1868 36.0
4 89013393 5378 41.0 3510 44.0 1868 36.0
4 89013394 5378 42.0 3510 44.0 1868 37.0
4 89013395 5378 42.0 3510 44.0 1868 37.0
4 89013396 5378 42.0 3510 45.0 1868 37.0
4 89013397 5378 43.0 3510 45.0 1868 38.0
4 89013398 5378 43.0 3510 45.0 1868 38.0
4 89013399 5378 43.0 3510 46.0 1868 39.0
4 89013400 5378 44.0 3510 47.0 1868 40.0
4 89013401 5378 45.0 3510 48.0 1868 41.0
4 89013402 5379 46.0 3510 49.0 1869 42.0
4 89013403 5379 47.0 3510 50.0 1869 43.0
4 89013404 5379 49.0 3510 51.0 1869 44.0
4 89013405 5379 50.0 3510 53.0 1869 46.0
4 89013406 5379 52.0 3510 55.0 1869 48.0
4 89013407 5379 53.0 3510 55.0 1869 48.0
4 89013408 5379 54.0 3510 57.0 1869 50.0
4 89013409 5379 56.0 3510 58.0 1869 51.0
4 89013410 5379 57.0 3510 59.0 1869 52.0
